2025-10-13 11:20:50, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 0, Flipped 2847898620, [+] System running normally
2025-10-13 11:20:52, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 1, Flipped 2847898623, [+] System running normally
2025-10-13 11:20:54, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 2, Flipped 2847898617, [+] System running normally
2025-10-13 11:20:57, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 3, Flipped 2847898613, [+] System running normally
2025-10-13 11:20:59, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 4, Flipped 2847898605, [+] System running normally
2025-10-13 11:21:01, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 5, Flipped 2847898589, [+] System running normally
2025-10-13 11:21:03, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 6, Flipped 2847898557, [+] System running normally
2025-10-13 11:21:05, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 7, Flipped 2847898493, [+] System running normally
2025-10-13 11:21:07, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 8, Flipped 2847898365, [+] System running normally
2025-10-13 11:21:09, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 9, Flipped 2847898109, [+] System running normally
2025-10-13 11:21:11, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 10, Flipped 2847899645, [+] System running normally
2025-10-13 11:21:13, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 11, Flipped 2847896573, [+] System running normally
2025-10-13 11:21:15, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 12, Flipped 2847894525, [+] System running normally
2025-10-13 11:21:17, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 13, Flipped 2847890429, [+] System running normally
2025-10-13 11:21:21, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 14, Flipped 2847882237, [+] System running normally
2025-10-13 11:21:23, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 15, Flipped 2847931389, [+] System running normally
2025-10-13 11:21:25, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 16, Flipped 2847833085, [+] System running normally
2025-10-13 11:21:27, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 17, Flipped 2847767549, [+] System running normally
2025-10-13 11:21:29, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 18, Flipped 2847636477, [+] System running normally
2025-10-13 11:21:31, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 19, Flipped 2847374333, [+] System running normally
2025-10-13 11:21:33, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 20, Flipped 2846850045, [+] System running normally
2025-10-13 11:21:35, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 21, Flipped 2845801469, [+] System running normally
2025-10-13 11:21:37, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 22, Flipped 2852092925, [+] System running normally
2025-10-13 11:21:41, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 23, Flipped 2839510013, [+] System running normally
2025-10-13 11:21:43, Instruction: 0xffff800010bd6868, Mem: 2847898621, Flipped bit 24, Flipped 2831121405, [+] System running normally
