[2025-11-15 14:20:59] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:00] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:01] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:02] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:03] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:04] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:05] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:06] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:07] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:08] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:09] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:10] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:11] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:12] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:13] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:14] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:15] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:16] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:17] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:18] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:19] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:20] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:21] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:22] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:23] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:24] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:25] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:26] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:27] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:28] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:29] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:30] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:31] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:32] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:33] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:34] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:35] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:36] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:37] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:38] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:39] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:40] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:41] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:42] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:43] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:44] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:45] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:46] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:47] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:48] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:49] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:50] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:51] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:52] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:53] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:54] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:55] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:56] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:57] From ('192.168.1.110', 37891): Hello, UDP Server!
[2025-11-15 14:21:58] From ('192.168.1.110', 37891): Hello, UDP Server!
