[2025-08-08 11:00:00] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:01] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:02] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:03] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:04] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:05] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:06] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:07] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:08] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:09] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:10] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:11] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:12] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:13] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:14] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:15] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:16] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:17] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:18] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:19] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:20] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:21] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:22] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:23] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:24] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:25] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:26] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:27] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:28] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:29] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:30] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:31] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:32] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:33] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:35] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:36] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:37] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:38] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:42] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:43] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:44] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:45] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:46] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:47] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:48] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:49] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:50] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:51] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:52] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:53] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:54] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:55] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:56] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:57] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:58] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:00:59] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:00] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:03] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:04] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:05] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:06] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:10] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-08 11:01:11] From ('192.168.1.110', 47848): Hello, UDP Server!
