[2025-10-12 10:37:32] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:33] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:35] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:36] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:39] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:40] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:37:42] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-12 10:39:57] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:39:58] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:39:59] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:00] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:01] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:02] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:03] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:04] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:05] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:06] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:07] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:08] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:09] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:10] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:11] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:12] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:13] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:14] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:15] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:16] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:17] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:18] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:19] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:20] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:21] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:22] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:23] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:24] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:25] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:26] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:27] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:28] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:29] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:30] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:31] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:32] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:33] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:34] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:35] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:36] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:37] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:38] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:39] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:40] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:41] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:42] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:43] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:44] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:45] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:46] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:47] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:48] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:49] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:50] From ('192.168.1.110', 58855): Hello, UDP Server!
[2025-10-12 10:40:51] From ('192.168.1.110', 58855): Hello, UDP Server!
