[2025-11-18 12:35:26] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:27] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:28] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:29] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:30] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:31] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:32] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:33] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:34] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:35] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:36] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:37] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:38] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:39] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:40] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:41] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:42] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:43] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:45] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:46] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:47] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:48] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:49] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:50] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:51] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:52] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:53] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:54] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:55] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:56] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:57] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:58] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:59] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:00] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:01] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:02] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:03] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:04] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:29] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:30] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:31] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:32] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:35] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:36] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:38] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:39] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:40] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:55:41] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 14:57:32] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:33] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:34] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:35] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:36] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:37] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:38] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:39] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:40] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:41] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:42] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:43] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:44] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:45] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:46] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:47] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:48] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:49] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:50] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:51] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:52] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:53] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:54] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:55] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:56] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:57] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:58] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:57:59] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:00] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:01] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:02] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:03] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:04] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:05] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:06] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:07] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:08] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:09] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:10] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:11] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:12] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:13] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:14] From ('192.168.1.110', 38256): Hello, UDP Server!
[2025-11-21 14:58:15] From ('192.168.1.110', 38256): Hello, UDP Server!
