[2025-08-21 15:50:23] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:24] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:25] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:26] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:29] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:31] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:32] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:50:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-21 15:52:53] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:54] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:55] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:56] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:57] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:58] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:52:59] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:00] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:01] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:02] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:03] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:04] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:05] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:06] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:07] From ('192.168.1.110', 52769): Hello, UDP Server!
[2025-08-21 15:53:08] From ('192.168.1.110', 52769): Hello, UDP Server!
