2025-09-29 14:19:13, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 0, Flipped 2847702012, [+] System running normally
2025-09-29 14:19:15, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 1, Flipped 2847702015, [+] System running normally
2025-09-29 14:19:17, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 2, Flipped 2847702009, [+] System running normally
2025-09-29 14:19:21, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 3, Flipped 2847702005, [+] System running normally
2025-09-29 14:19:23, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 4, Flipped 2847701997, [+] System running normally
2025-09-29 14:19:25, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 5, Flipped 2847701981, [+] System running normally
2025-09-29 14:19:27, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 6, Flipped 2847701949, [+] System running normally
2025-09-29 14:19:29, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 7, Flipped 2847701885, [+] System running normally
2025-09-29 14:19:31, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 8, Flipped 2847701757, [+] System running normally
2025-09-29 14:19:33, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 9, Flipped 2847701501, [+] System running normally
2025-09-29 14:19:35, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 10, Flipped 2847703037, [+] System running normally
2025-09-29 14:19:37, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 11, Flipped 2847699965, [+] System running normally
2025-09-29 14:19:41, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 12, Flipped 2847697917, [+] System running normally
2025-09-29 14:19:43, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 13, Flipped 2847693821, [+] System running normally
2025-09-29 14:19:45, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 14, Flipped 2847685629, [+] System running normally
2025-09-29 14:19:47, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 15, Flipped 2847734781, [+] System running normally
2025-09-29 14:19:51, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 16, Flipped 2847767549, [+] System running normally
2025-09-29 14:19:53, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 17, Flipped 2847833085, [+] System running normally
2025-09-29 14:19:55, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 18, Flipped 2847439869, [+] System running normally
2025-09-29 14:19:57, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 19, Flipped 2847177725, [+] System running normally
2025-09-29 14:19:59, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 20, Flipped 2846653437, [+] System running normally
2025-09-29 14:20:01, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 21, Flipped 2845604861, [+] System running normally
2025-09-29 14:20:03, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 22, Flipped 2851896317, [+] System running normally
2025-09-29 14:20:07, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 23, Flipped 2839313405, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x86000004', 'raw_match': '[  193.333918]   ESR = 0x86000004'}, {'EC': '0x21 / Instruction Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:23:31, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 24, Flipped 2830924797, [+] System running normally
2025-09-29 14:23:33, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 25, Flipped 2881256445, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:26:57, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 26, Flipped 2914810877, [+] System running normally
2025-09-29 14:26:59, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 27, Flipped 2713484285, [+] System running normally
2025-09-29 14:27:01, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 28, Flipped 3116137469, [+] System running normally
2025-09-29 14:27:03, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 29, Flipped 2310831101, [+] System running normally
2025-09-29 14:27:07, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 30, Flipped 3921443837, [+] System running normally
2025-09-29 14:27:11, Instruction: 0xffff800010b2de18, Mem: 2847702013, Flipped bit 31, Flipped 700218365, [+] System running normally
2025-09-29 14:27:13, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 0, Flipped 3489686595, [+] System running normally
2025-09-29 14:27:15, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 1, Flipped 3489686592, [+] System running normally
2025-09-29 14:27:17, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 2, Flipped 3489686598, [+] System running normally
2025-09-29 14:27:19, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 3, Flipped 3489686602, [+] System running normally
2025-09-29 14:27:21, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 4, Flipped 3489686610, [+] System running normally
2025-09-29 14:27:23, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 5, Flipped 3489686626, [+] System running normally
2025-09-29 14:27:25, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 6, Flipped 3489686530, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000007', 'raw_match': '[  217.819895]   ESR = 0x96000007'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:30:50, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 7, Flipped 3489686722, [+] System running normally
2025-09-29 14:30:52, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 8, Flipped 3489686850, [+] System running normally
2025-09-29 14:30:54, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 9, Flipped 3489687106, [+] System running normally
2025-09-29 14:30:56, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 10, Flipped 3489685570, [+] System running normally
2025-09-29 14:30:58, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 11, Flipped 3489688642, [+] System running normally
2025-09-29 14:31:00, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 12, Flipped 3489690690, [+] System running normally
2025-09-29 14:31:02, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 13, Flipped 3489678402, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000007', 'raw_match': '[  205.666387]   ESR = 0x96000007'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:34:26, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 14, Flipped 3489670210, [+] System running normally
2025-09-29 14:34:28, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 15, Flipped 3489719362, [+] System running normally
2025-09-29 14:34:30, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 16, Flipped 3489752130, [+] System running normally
2025-09-29 14:34:32, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 17, Flipped 3489817666, [+] System running normally
2025-09-29 14:34:34, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 18, Flipped 3489948738, [+] System running normally
2025-09-29 14:34:36, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 19, Flipped 3490210882, [+] System running normally
2025-09-29 14:34:38, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 20, Flipped 3490735170, [+] System running normally
2025-09-29 14:34:40, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 21, Flipped 3491783746, [+] System running normally
2025-09-29 14:34:42, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 22, Flipped 3493880898, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000005', 'raw_match': '[  211.219636]   ESR = 0x96000005'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:38:04, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 23, Flipped 3498075202, [+] System running normally
2025-09-29 14:38:06, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 24, Flipped 3506463810, [+] System running normally
2025-09-29 14:38:08, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 25, Flipped 3523241026, [+] System running normally
2025-09-29 14:38:10, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 26, Flipped 3556795458, [+] System running normally
2025-09-29 14:38:12, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 27, Flipped 3623904322, [+] System running normally
2025-09-29 14:38:14, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 28, Flipped 3221251138, [+] System running normally
2025-09-29 14:38:16, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 29, Flipped 4026557506, [+] System running normally
2025-09-29 14:38:18, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 30, Flipped 2415944770, [+] System running normally
2025-09-29 14:38:20, Instruction: 0xffff800010b2de1c, Mem: 3489686594, Flipped bit 31, Flipped 1342202946, [+] System running normally
2025-09-29 14:38:24, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-09-29 14:38:26, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-09-29 14:38:28, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-09-29 14:38:30, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-09-29 14:38:32, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-09-29 14:38:34, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-09-29 14:38:36, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-09-29 14:38:38, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
