2025-10-30 14:07:40, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 0, Flipped 2847374332, [+] System running normally
2025-10-30 14:07:42, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 1, Flipped 2847374335, [+] System running normally
2025-10-30 14:07:44, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 2, Flipped 2847374329, [+] System running normally
2025-10-30 14:07:47, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 3, Flipped 2847374325, [+] System running normally
2025-10-30 14:07:49, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 4, Flipped 2847374317, [+] System running normally
2025-10-30 14:07:51, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 5, Flipped 2847374301, [+] System running normally
2025-10-30 14:07:53, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 6, Flipped 2847374269, [+] System running normally
2025-10-30 14:07:55, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 7, Flipped 2847374205, [+] System running normally
2025-10-30 14:07:59, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 8, Flipped 2847374077, [+] System running normally
2025-10-30 14:08:01, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 9, Flipped 2847373821, [+] System running normally
2025-10-30 14:08:03, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 10, Flipped 2847375357, [+] System running normally
2025-10-30 14:08:05, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 11, Flipped 2847372285, [+] System running normally
2025-10-30 14:08:07, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 12, Flipped 2847370237, [+] System running normally
2025-10-30 14:08:11, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 13, Flipped 2847366141, [+] System running normally
2025-10-30 14:08:13, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 14, Flipped 2847357949, [+] System running normally
