[2025-09-29 14:19:14] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:15] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:16] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:17] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:18] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:21] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:22] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:23] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:24] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:25] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:26] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:27] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:28] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:29] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:30] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:31] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:32] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:33] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:34] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:35] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:36] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:37] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:38] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:42] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:43] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:44] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:45] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:46] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:47] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:48] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:51] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:52] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:53] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:54] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:55] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:56] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:57] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:58] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:19:59] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:00] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:01] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:02] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:03] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:04] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:07] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:20:08] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-09-29 14:21:58] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:21:59] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:00] From ('192.168.1.110', 44808): Hello, UDP Server!
[2025-09-29 14:22:01] From ('192.168.1.110', 44808): Hello, UDP Server!
