2025-10-31 14:50:40, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 0, Flipped 2847046652, [+] System running normally
2025-10-31 14:50:42, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 1, Flipped 2847046655, [+] System running normally
2025-10-31 14:50:44, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 2, Flipped 2847046649, [+] System running normally
2025-10-31 14:50:49, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 3, Flipped 2847046645, [+] System running normally
2025-10-31 14:50:51, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 4, Flipped 2847046637, [+] System running normally
2025-10-31 14:50:55, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 5, Flipped 2847046621, [+] System running normally
2025-10-31 14:50:57, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 6, Flipped 2847046589, [+] System running normally
2025-10-31 14:50:59, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 7, Flipped 2847046525, [+] System running normally
2025-10-31 14:51:01, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 8, Flipped 2847046397, [+] System running normally
2025-10-31 14:51:03, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 9, Flipped 2847046141, [+] System running normally
2025-10-31 14:51:05, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 10, Flipped 2847047677, [+] System running normally
2025-10-31 14:51:07, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 11, Flipped 2847044605, [+] System running normally
2025-10-31 14:51:09, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 12, Flipped 2847042557, [+] System running normally
2025-10-31 14:51:11, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 13, Flipped 2847038461, [+] System running normally
2025-10-31 14:51:13, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 14, Flipped 2847030269, [+] System running normally
2025-10-31 14:51:15, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 15, Flipped 2847079421, [+] System running normally
2025-10-31 14:51:17, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 16, Flipped 2847112189, [+] System running normally
2025-10-31 14:51:19, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 17, Flipped 2846915581, [+] System running normally
2025-10-31 14:51:23, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 18, Flipped 2847308797, [+] System running normally
2025-10-31 14:51:25, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 19, Flipped 2847570941, [+] System running normally
2025-10-31 14:51:27, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 20, Flipped 2845998077, [+] System running normally
2025-10-31 14:51:29, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 21, Flipped 2844949501, [+] System running normally
2025-10-31 14:51:31, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 22, Flipped 2851240957, [+] System running normally
2025-10-31 14:51:33, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 23, Flipped 2838658045, [+] System running normally
2025-10-31 14:51:35, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 24, Flipped 2830269437, [+] System running normally
2025-10-31 14:51:37, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 25, Flipped 2880601085, [+] System running normally
2025-10-31 14:51:41, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 26, Flipped 2914155517, [+] System running normally
2025-10-31 14:51:43, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 27, Flipped 2712828925, [+] System running normally
2025-10-31 14:51:45, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 28, Flipped 3115482109, [+] System running normally
2025-10-31 14:51:47, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 29, Flipped 2310175741, [+] System running normally
2025-10-31 14:51:51, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 30, Flipped 3920788477, [+] System running normally
2025-10-31 14:51:53, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 31, Flipped 699563005, [+] System running normally
2025-10-31 14:51:55, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-31 14:51:57, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
