2025-10-30 09:51:05, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 0, Flipped 2847439868, [+] System running normally
2025-10-30 09:51:07, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 1, Flipped 2847439871, [+] System running normally
2025-10-30 09:51:09, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 2, Flipped 2847439865, [+] System running normally
2025-10-30 09:51:11, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 3, Flipped 2847439861, [+] System running normally
2025-10-30 09:51:13, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 4, Flipped 2847439853, [+] System running normally
2025-10-30 09:51:15, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 5, Flipped 2847439837, [+] System running normally
2025-10-30 09:51:17, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 6, Flipped 2847439805, [+] System running normally
2025-10-30 09:51:19, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 7, Flipped 2847439741, [+] System running normally
2025-10-30 09:51:21, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 8, Flipped 2847439613, [+] System running normally
2025-10-30 09:51:23, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 9, Flipped 2847439357, [+] System running normally
2025-10-30 09:51:25, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 10, Flipped 2847440893, [+] System running normally
2025-10-30 09:51:27, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 11, Flipped 2847437821, [+] System running normally
2025-10-30 09:51:29, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 12, Flipped 2847435773, [+] System running normally
2025-10-30 09:51:31, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 13, Flipped 2847431677, [+] System running normally
2025-10-30 09:51:35, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 14, Flipped 2847423485, [+] System running normally
2025-10-30 09:51:37, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 15, Flipped 2847472637, [+] System running normally
2025-10-30 09:51:41, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 16, Flipped 2847505405, [+] System running normally
2025-10-30 09:51:45, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 17, Flipped 2847570941, [+] System running normally
2025-10-30 09:51:47, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 18, Flipped 2847702013, [+] System running normally
2025-10-30 09:51:49, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 19, Flipped 2846915581, [+] System running normally
2025-10-30 09:51:54, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 20, Flipped 2846391293, [+] System running normally
2025-10-30 09:51:56, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 21, Flipped 2845342717, [+] System running normally
2025-10-30 09:51:58, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 22, Flipped 2851634173, [+] System running normally
2025-10-30 09:52:00, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 23, Flipped 2839051261, [+] System running normally
2025-10-30 09:52:02, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 24, Flipped 2830662653, [+] System running normally
2025-10-30 09:52:04, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 25, Flipped 2880994301, [+] System running normally
2025-10-30 09:52:06, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 26, Flipped 2914548733, [+] System running normally
2025-10-30 09:52:08, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 27, Flipped 2713222141, [+] System running normally
2025-10-30 09:52:10, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 28, Flipped 3115875325, [+] System running normally
2025-10-30 09:52:14, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 29, Flipped 2310568957, [+] System running normally
2025-10-30 09:52:16, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 30, Flipped 3921181693, [+] System running normally
2025-10-30 09:52:18, Instruction: 0xffff800010b28fa0, Mem: 2847439869, Flipped bit 31, Flipped 699956221, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  208.885308]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}]
2025-10-30 09:55:40, Instruction: 0xffff800010b28fa4, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-30 09:55:42, Instruction: 0xffff800010b28fa4, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-10-30 09:55:44, Instruction: 0xffff800010b28fa4, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-30 09:55:46, Instruction: 0xffff800010b28fa4, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
