2025-10-29 19:47:50, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 0, Flipped 2847702012, [+] System running normally
2025-10-29 19:47:52, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 1, Flipped 2847702015, [+] System running normally
2025-10-29 19:47:54, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 2, Flipped 2847702009, [+] System running normally
2025-10-29 19:47:57, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 3, Flipped 2847702005, [+] System running normally
2025-10-29 19:48:01, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 4, Flipped 2847701997, [+] System running normally
2025-10-29 19:48:03, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 5, Flipped 2847701981, [+] System running normally
2025-10-29 19:48:07, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 6, Flipped 2847701949, [+] System running normally
2025-10-29 19:48:09, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 7, Flipped 2847701885, [+] System running normally
2025-10-29 19:48:12, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 8, Flipped 2847701757, [+] System running normally
2025-10-29 19:48:14, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 9, Flipped 2847701501, [+] System running normally
2025-10-29 19:48:16, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 10, Flipped 2847703037, [+] System running normally
2025-10-29 19:48:18, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 11, Flipped 2847699965, [+] System running normally
2025-10-29 19:48:22, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 12, Flipped 2847697917, [+] System running normally
2025-10-29 19:48:24, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 13, Flipped 2847693821, [+] System running normally
2025-10-29 19:48:26, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 14, Flipped 2847685629, [+] System running normally
2025-10-29 19:48:28, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 15, Flipped 2847734781, [+] System running normally
2025-10-29 19:48:30, Instruction: 0xffff800010b2f198, Mem: 2847702013, Flipped bit 16, Flipped 2847767549, [+] System running normally
