[2025-10-16 08:13:40] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-16 08:13:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-16 08:15:20] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:21] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:22] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:23] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:24] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:25] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:26] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:27] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:28] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:29] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:30] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:31] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:32] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:33] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:34] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:35] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:36] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:37] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:38] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:39] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:40] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:41] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:42] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:43] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:44] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:45] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:46] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:47] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:48] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:49] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:50] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:51] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:52] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:53] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:54] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:55] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:56] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:57] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:58] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:15:59] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:00] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:01] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:02] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:03] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:04] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:05] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:06] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:07] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:08] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:09] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:10] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:11] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:12] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:13] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:14] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:15] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:16] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:17] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:18] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:19] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:20] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:21] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:22] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:23] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:24] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:25] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:26] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:27] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:28] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:29] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:30] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:31] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:32] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:33] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:35] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:36] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:37] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:38] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:39] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:40] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:41] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:42] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:43] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:44] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:45] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:46] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:47] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:48] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:49] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:50] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:51] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:52] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:53] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:54] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:55] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:56] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:57] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:58] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:16:59] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:00] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:01] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:02] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:03] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:04] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:17:05] From ('192.168.1.110', 38144): Hello, UDP Server!
[2025-10-16 08:20:19] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:20] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:21] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:22] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:23] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:24] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:25] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:26] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:27] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:28] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:29] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:20:30] From ('192.168.1.110', 48270): Hello, UDP Server!
[2025-10-16 08:23:34] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:35] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:36] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:37] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:38] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:39] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:40] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:41] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:42] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:43] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:44] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:45] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:46] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:47] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:48] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:49] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:50] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:51] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:53] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:54] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:55] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:56] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:57] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:58] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:23:59] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:00] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:03] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:04] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:05] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:06] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:07] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:08] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:09] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:24:10] From ('192.168.1.110', 43806): Hello, UDP Server!
[2025-10-16 08:26:52] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:53] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:54] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:55] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:56] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:57] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:58] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:26:59] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:00] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:01] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:02] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:03] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:04] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:05] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:06] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:07] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:08] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:09] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:10] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:11] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:12] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:13] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:14] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:15] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:16] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:17] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:18] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:19] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:20] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:21] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:22] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:23] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:24] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:25] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:26] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:27] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:28] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:29] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:32] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:33] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:34] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:35] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:36] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:37] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:38] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:39] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:40] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:41] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:42] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:43] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:46] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:47] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:48] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:49] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:51] From ('192.168.1.110', 58449): Hello, UDP Server!
[2025-10-16 08:27:52] From ('192.168.1.110', 58449): Hello, UDP Server!
