[  193.014793] BUG: scheduling while atomic: python3/494/0x00000000
[  193.067164] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.077022] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.084114] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.087928] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.088543] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.089241] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.091469] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.092400] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.092917] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.098970] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.101563] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.113299] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.117330] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.127659] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.133093] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.144183] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.145946] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.147720] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.150060] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.153784] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.156975] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.163544] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.164498] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.168199] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.169221] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.173246] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.173905] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.178103] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.181209] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.183230] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.187207] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.188590] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.189192] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.189821] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.191919] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.193250] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.195893] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.197040] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.198296] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.200357] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.201943] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.204626] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.207108] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.212106] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.212857] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.213930] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.214436] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.217136] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.220595] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.221855] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.224371] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.225499] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.227392] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.229157] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.230882] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.232943] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.235385] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.239979] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.240504] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.240943] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.241623] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.243018] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.244003] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.245819] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.248646] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.251654] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.253775] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.255769] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.256955] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.257379] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.257822] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.259406] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.259889] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.261186] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.261731] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.263250] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.265286] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.265983] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.269071] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.270339] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.271433] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.276509] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
