2025-10-28 19:58:28, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 0, Flipped 2847767548, [+] System running normally
2025-10-28 19:58:30, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 1, Flipped 2847767551, [+] System running normally
2025-10-28 19:58:32, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 2, Flipped 2847767545, [+] System running normally
2025-10-28 19:58:35, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 3, Flipped 2847767541, [+] System running normally
2025-10-28 19:58:37, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 4, Flipped 2847767533, [+] System running normally
2025-10-28 19:58:39, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 5, Flipped 2847767517, [+] System running normally
2025-10-28 19:58:41, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 6, Flipped 2847767485, [+] System running normally
2025-10-28 19:58:45, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 7, Flipped 2847767421, [+] System running normally
2025-10-28 19:58:49, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 8, Flipped 2847767293, [+] System running normally
2025-10-28 19:58:51, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 9, Flipped 2847767037, [+] System running normally
2025-10-28 19:58:53, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 10, Flipped 2847768573, [+] System running normally
2025-10-28 19:58:55, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 11, Flipped 2847765501, [+] System running normally
2025-10-28 19:58:57, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 12, Flipped 2847763453, [+] System running normally
2025-10-28 19:58:59, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 13, Flipped 2847759357, [+] System running normally
2025-10-28 19:59:01, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 14, Flipped 2847751165, [+] System running normally
