[2025-10-10 19:54:50] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:51] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:52] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:53] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:54] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:55] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:56] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:57] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:58] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:54:59] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:00] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:01] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:02] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:03] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:04] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:05] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:06] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:07] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:08] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:09] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:10] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:11] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:12] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:13] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:14] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:15] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:16] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:17] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:18] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:19] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:20] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:21] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:22] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:23] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:24] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:25] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:26] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:27] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:28] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:29] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:30] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:31] From ('192.168.1.110', 49195): Hello, UDP Server!
[2025-10-10 19:55:32] From ('192.168.1.110', 49195): Hello, UDP Server!
