[2025-11-17 16:36:04] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:05] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:06] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:07] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:08] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:09] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:10] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:11] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:12] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:13] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:14] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:15] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:16] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:17] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:18] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:19] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:20] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:21] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:22] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:23] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:24] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:25] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:26] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:27] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:28] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:29] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:30] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:31] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:32] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:33] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:34] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:35] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:36] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:37] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:38] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:39] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:40] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:41] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:42] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:43] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:44] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:45] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:46] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:47] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:48] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:49] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:50] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:51] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:52] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:54] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:55] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:56] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:57] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:58] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:36:59] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:00] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:01] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:02] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:03] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:04] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:05] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:06] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:07] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:08] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:09] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:10] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:11] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:12] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:13] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:14] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:15] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:16] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:17] From ('192.168.1.110', 45775): Hello, UDP Server!
[2025-11-17 16:37:18] From ('192.168.1.110', 45775): Hello, UDP Server!
