[2025-10-10 09:27:41] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:42] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:43] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:44] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:45] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:47] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:48] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:49] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:27:50] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-10-10 09:29:40] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:41] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:42] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:43] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:44] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:45] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:46] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:47] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:48] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:49] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:50] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:51] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:52] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:53] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:54] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:55] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:56] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:57] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:58] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:29:59] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:00] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:01] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:02] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:03] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:04] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:05] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:06] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:07] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:08] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:09] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:10] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:11] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:12] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:13] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:14] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:15] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:16] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:17] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:18] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:19] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:20] From ('192.168.1.110', 49634): Hello, UDP Server!
[2025-10-10 09:30:21] From ('192.168.1.110', 49634): Hello, UDP Server!
