2025-10-28 22:39:43, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 0, Flipped 2847439868, [+] System running normally
2025-10-28 22:39:45, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 1, Flipped 2847439871, [+] System running normally
2025-10-28 22:39:47, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 2, Flipped 2847439865, [+] System running normally
2025-10-28 22:39:50, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 3, Flipped 2847439861, [+] System running normally
2025-10-28 22:39:52, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 4, Flipped 2847439853, [+] System running normally
2025-10-28 22:39:54, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 5, Flipped 2847439837, [+] System running normally
2025-10-28 22:39:56, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 6, Flipped 2847439805, [+] System running normally
2025-10-28 22:39:58, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 7, Flipped 2847439741, [+] System running normally
2025-10-28 22:40:02, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 8, Flipped 2847439613, [+] System running normally
2025-10-28 22:40:04, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 9, Flipped 2847439357, [+] System running normally
2025-10-28 22:40:06, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 10, Flipped 2847440893, [+] System running normally
2025-10-28 22:40:08, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 11, Flipped 2847437821, [+] System running normally
2025-10-28 22:40:10, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 12, Flipped 2847435773, [+] System running normally
2025-10-28 22:40:12, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 13, Flipped 2847431677, [+] System running normally
2025-10-28 22:40:14, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 14, Flipped 2847423485, [+] System running normally
2025-10-28 22:40:16, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 15, Flipped 2847472637, [+] System running normally
2025-10-28 22:40:18, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 16, Flipped 2847505405, [+] System running normally
2025-10-28 22:40:22, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 17, Flipped 2847570941, [+] System running normally
2025-10-28 22:40:24, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 18, Flipped 2847702013, [+] System running normally
2025-10-28 22:40:26, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 19, Flipped 2846915581, [+] System running normally
2025-10-28 22:40:28, Instruction: 0xffff800010af2410, Mem: 2847439869, Flipped bit 20, Flipped 2846391293, [+] System running normally
