2025-10-09 20:03:36, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 0, Flipped 4181729314, [+] System running normally
2025-10-09 20:03:38, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 1, Flipped 4181729313, [+] System running normally
2025-10-09 20:03:40, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 2, Flipped 4181729319, [+] System running normally
2025-10-09 20:03:43, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 3, Flipped 4181729323, [+] System running normally
2025-10-09 20:03:45, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 4, Flipped 4181729331, [+] System running normally
2025-10-09 20:03:47, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 5, Flipped 4181729283, [+] System running normally
2025-10-09 20:03:49, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 6, Flipped 4181729379, [+] System running normally
2025-10-09 20:03:51, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 7, Flipped 4181729443, [+] System running normally
2025-10-09 20:03:53, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 8, Flipped 4181729571, [+] System running normally
2025-10-09 20:03:55, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 9, Flipped 4181729827, [+] System running normally
2025-10-09 20:03:57, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 10, Flipped 4181730339, [+] System running normally
2025-10-09 20:03:59, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 11, Flipped 4181731363, [+] System running normally
2025-10-09 20:04:01, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 12, Flipped 4181733411, [+] System running normally
2025-10-09 20:04:03, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 13, Flipped 4181721123, [+] System running normally
2025-10-09 20:04:05, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 14, Flipped 4181745699, [+] System running normally
2025-10-09 20:04:07, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 15, Flipped 4181762083, [+] System running normally
2025-10-09 20:04:09, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 16, Flipped 4181794851, [+] System running normally
2025-10-09 20:04:13, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 17, Flipped 4181860387, [+] System running normally
2025-10-09 20:04:17, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 18, Flipped 4181991459, [+] System running normally
2025-10-09 20:04:19, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 19, Flipped 4182253603, [+] System running normally
