2025-10-28 16:31:02, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 0, Flipped 2847767548, [+] System running normally
2025-10-28 16:31:04, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 1, Flipped 2847767551, [+] System running normally
2025-10-28 16:31:06, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 2, Flipped 2847767545, [+] System running normally
2025-10-28 16:31:10, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 3, Flipped 2847767541, [+] System running normally
2025-10-28 16:31:12, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 4, Flipped 2847767533, [+] System running normally
2025-10-28 16:31:14, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 5, Flipped 2847767517, [+] System running normally
2025-10-28 16:31:16, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 6, Flipped 2847767485, [+] System running normally
2025-10-28 16:31:18, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 7, Flipped 2847767421, [+] System running normally
2025-10-28 16:31:20, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 8, Flipped 2847767293, [+] System running normally
2025-10-28 16:31:22, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 9, Flipped 2847767037, [+] System running normally
2025-10-28 16:31:24, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 10, Flipped 2847768573, [+] System running normally
2025-10-28 16:31:26, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 11, Flipped 2847765501, [+] System running normally
2025-10-28 16:31:30, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 12, Flipped 2847763453, [+] System running normally
2025-10-28 16:31:32, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 13, Flipped 2847759357, [+] System running normally
2025-10-28 16:31:34, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 14, Flipped 2847751165, [+] System running normally
2025-10-28 16:31:36, Instruction: 0xffff800010ba80f0, Mem: 2847767549, Flipped bit 15, Flipped 2847800317, [+] System running normally
