2025-10-28 14:04:28, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 0, Flipped 2852127712, [+] System running normally
2025-10-28 14:04:30, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 1, Flipped 2852127715, [+] System running normally
2025-10-28 14:04:32, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 2, Flipped 2852127717, [+] System running normally
2025-10-28 14:04:37, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 3, Flipped 2852127721, [+] System running normally
2025-10-28 14:04:39, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 4, Flipped 2852127729, [+] System running normally
2025-10-28 14:04:43, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 5, Flipped 2852127681, [+] System running normally
2025-10-28 14:04:45, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 6, Flipped 2852127649, [+] System running normally
2025-10-28 14:04:47, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 7, Flipped 2852127585, [+] System running normally
2025-10-28 14:04:49, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 8, Flipped 2852127457, [+] System running normally
2025-10-28 14:04:51, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 9, Flipped 2852127201, [+] System running normally
2025-10-28 14:04:53, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 10, Flipped 2852128737, [+] System running normally
2025-10-28 14:04:55, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 11, Flipped 2852129761, [+] System running normally
2025-10-28 14:04:57, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 12, Flipped 2852131809, [+] System running normally
2025-10-28 14:04:59, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 13, Flipped 2852135905, [+] System running normally
2025-10-28 14:05:01, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 14, Flipped 2852144097, [+] System running normally
2025-10-28 14:05:05, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 15, Flipped 2852160481, [+] System running normally
2025-10-28 14:05:07, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 16, Flipped 2852193249, [+] System running normally
2025-10-28 14:05:09, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 17, Flipped 2852258785, [+] System running normally
2025-10-28 14:05:11, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 18, Flipped 2852389857, [+] System running normally
2025-10-28 14:05:13, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 19, Flipped 2852652001, [+] System running normally
2025-10-28 14:05:15, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 20, Flipped 2853176289, [+] System running normally
2025-10-28 14:05:17, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 21, Flipped 2854224865, [+] System running normally
2025-10-28 14:05:19, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 22, Flipped 2856322017, [+] System running normally
2025-10-28 14:05:21, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 23, Flipped 2860516321, [+] System running normally
2025-10-28 14:05:25, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 24, Flipped 2868904929, [+] System running normally
2025-10-28 14:05:27, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 25, Flipped 2818573281, [+] System running normally
2025-10-28 14:05:29, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 26, Flipped 2919236577, [+] System running normally
2025-10-28 14:05:31, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 27, Flipped 2717909985, [+] System running normally
2025-10-28 14:05:33, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 28, Flipped 3120563169, [+] System running normally
2025-10-28 14:05:35, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 29, Flipped 2315256801, [+] System running normally
2025-10-28 14:05:37, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 30, Flipped 3925869537, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000044', 'raw_match': '[  207.676157]   ESR = 0x96000044'}, {'EC': '0x25 / Data Abort from current EL'}]
2025-10-28 14:08:59, Instruction: 0xffff800010ba6380, Mem: 2852127713, Flipped bit 31, Flipped 704644065, [+] System running normally
2025-10-28 14:09:01, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 0, Flipped 2433744898, [+] System running normally
2025-10-28 14:09:03, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 1, Flipped 2433744897, [+] System running normally
2025-10-28 14:09:05, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 2, Flipped 2433744903, [+] System running normally
2025-10-28 14:09:09, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 3, Flipped 2433744907, [+] System running normally
