2025-12-02 13:39:41, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 0, Flipped 2847702012, [+] System running normally
2025-12-02 13:39:43, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 1, Flipped 2847702015, [+] System running normally
2025-12-02 13:39:45, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 2, Flipped 2847702009, [+] System running normally
2025-12-02 13:39:49, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 3, Flipped 2847702005, [+] System running normally
2025-12-02 13:39:51, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 4, Flipped 2847701997, [+] System running normally
2025-12-02 13:39:53, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 5, Flipped 2847701981, [+] System running normally
2025-12-02 13:39:55, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 6, Flipped 2847701949, [+] System running normally
2025-12-02 13:39:59, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 7, Flipped 2847701885, [+] System running normally
2025-12-02 13:43:21, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 8, Flipped 2847701757, [+] System running normally
2025-12-02 13:43:23, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 9, Flipped 2847701501, [+] System running normally
2025-12-02 13:43:25, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 10, Flipped 2847703037, [+] System running normally
2025-12-02 13:43:27, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 11, Flipped 2847699965, [+] System running normally
2025-12-02 13:43:29, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 12, Flipped 2847697917, [+] System running normally
2025-12-02 13:43:31, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 13, Flipped 2847693821, [+] System running normally
2025-12-02 13:43:33, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 14, Flipped 2847685629, [+] System running normally
2025-12-02 13:43:35, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 15, Flipped 2847734781, [+] System running normally
2025-12-02 13:43:37, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 16, Flipped 2847767549, [+] System running normally
2025-12-02 13:43:39, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 17, Flipped 2847833085, [+] System running normally
2025-12-02 13:43:41, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 18, Flipped 2847439869, [+] System running normally
2025-12-02 13:43:43, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 19, Flipped 2847177725, [+] System running normally
2025-12-02 13:43:45, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 20, Flipped 2846653437, [+] System running normally
2025-12-02 13:43:47, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 21, Flipped 2845604861, [+] System running normally
2025-12-02 13:43:49, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 22, Flipped 2851896317, [+] System running normally
2025-12-02 13:43:51, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 23, Flipped 2839313405, [+] System running normally
2025-12-02 13:43:53, Instruction: 0xffff800010ba7f60, Mem: 2847702013, Flipped bit 24, Flipped 2830924797, [+] System running normally
