[2025-08-25 14:07:07] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:08] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:09] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:10] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:11] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:15] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:16] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:17] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:07:18] From ('192.168.1.110', 47848): Hello, UDP Server!
[2025-08-25 14:09:11] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:12] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:13] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:14] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:15] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:16] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:17] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:18] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:19] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:20] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:21] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:22] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:23] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:24] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:25] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:26] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:27] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:28] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:29] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:30] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:31] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:32] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:33] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:34] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:35] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:36] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:37] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:38] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:39] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:40] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:41] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:42] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:43] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:44] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:45] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:46] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:47] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:48] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:49] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:50] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:51] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:52] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:53] From ('192.168.1.110', 42891): Hello, UDP Server!
[2025-08-25 14:09:54] From ('192.168.1.110', 42891): Hello, UDP Server!
