[2025-11-18 12:35:26] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:27] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:28] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:29] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:30] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:31] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:32] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:33] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:34] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:35] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:36] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:37] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:38] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:39] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:40] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:41] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:42] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:43] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:45] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:46] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:47] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:48] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:49] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:50] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:51] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:52] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:53] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:54] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:55] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:56] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:57] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:58] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:35:59] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:00] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:01] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:02] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:03] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-18 12:36:04] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:52:58] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:52:59] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:00] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:01] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:02] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:03] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:06] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:07] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:08] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:09] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:10] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:11] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:12] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:13] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:14] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:15] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:18] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:19] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:20] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:21] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:22] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:23] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:24] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:25] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:26] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:27] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:28] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:29] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:30] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:31] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:32] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:33] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:34] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:35] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:36] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:37] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:40] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:41] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:42] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:43] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:46] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:47] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:48] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:49] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:50] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:51] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:52] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-11-21 09:53:53] From ('192.168.1.110', 58784): Hello, UDP Server!
[2025-12-03 18:19:14] From ('192.168.1.110', 41485): Hello, UDP Server!
[2025-12-03 18:19:15] From ('192.168.1.110', 41485): Hello, UDP Server!
[2025-12-03 18:19:16] From ('192.168.1.110', 41485): Hello, UDP Server!
[2025-12-03 18:19:17] From ('192.168.1.110', 41485): Hello, UDP Server!
[2025-12-03 18:19:18] From ('192.168.1.110', 41485): Hello, UDP Server!
[2025-12-03 18:19:19] From ('192.168.1.110', 41485): Hello, UDP Server!
